Linux 4.4.0-53-generic (diptprisrv08) 	12/16/2016 	_x86_64_	(12 CPU)

04:38:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:38:31 PM     all      0.33      0.00      0.33      0.00      0.00     99.33
04:38:32 PM     all      0.17      0.00      0.25      0.00      0.00     99.58
04:38:33 PM     all      1.17      0.00      0.17      0.00      0.00     98.67
04:38:34 PM     all      0.42      0.00      0.25      0.17      0.00     99.17
04:38:35 PM     all      0.25      0.00      0.33      0.08      0.00     99.33
04:38:36 PM     all      0.25      0.00      0.33      0.00      0.00     99.42
04:38:37 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
04:38:38 PM     all      0.17      0.00      0.25      0.00      0.00     99.58
04:38:39 PM     all      0.08      0.00      0.25      0.00      0.00     99.67
04:38:40 PM     all      0.42      0.00      0.25      0.17      0.00     99.17
04:38:41 PM     all      4.68      0.00      3.18      0.17      0.00     91.97
04:38:42 PM     all      0.50      0.00      0.25      0.00      0.00     99.25
04:38:43 PM     all      0.67      0.00      0.25      0.00      0.00     99.08
04:38:44 PM     all      7.03      0.00      1.00      0.08      0.00     91.88
04:38:45 PM     all     70.85      0.00      8.29      0.00      0.00     20.85
04:38:46 PM     all     68.48      0.00     11.74      0.08      0.00     19.70
04:38:47 PM     all     59.51      0.00     11.45      0.00      0.00     29.04
04:38:48 PM     all     69.11      0.00     10.19      0.00      0.00     20.71
04:38:49 PM     all     70.95      0.00      7.43      1.25      0.00     20.37
04:38:50 PM     all     75.69      0.00      7.46      0.34      0.00     16.51
04:38:51 PM     all     70.49      0.00      8.30      0.00      0.00     21.21
04:38:52 PM     all     71.51      0.00      7.69      1.17      0.00     19.63
04:38:53 PM     all     68.08      0.00      8.17      0.50      0.00     23.25
04:38:54 PM     all     73.12      0.00      8.38      0.67      0.00     17.84
04:38:55 PM     all     70.29      0.00      9.68      0.34      0.00     19.70
04:38:56 PM     all     72.02      0.00      8.66      0.67      0.00     18.66
04:38:57 PM     all     74.19      0.00      7.66      0.08      0.00     18.07
04:38:58 PM     all     71.64      0.00     10.40      0.25      0.00     17.70
04:38:59 PM     all     71.32      0.00      9.28      0.33      0.00     19.06
04:39:00 PM     all     70.77      0.00      9.72      0.34      0.00     19.18
04:39:01 PM     all     68.12      0.00     10.60      0.50      0.00     20.77
04:39:02 PM     all     69.98      0.00     10.20      0.50      0.00     19.31
04:39:03 PM     all     71.51      0.00      9.44      0.42      0.00     18.63
04:39:04 PM     all     70.13      0.00      9.82      1.34      0.00     18.71
04:39:05 PM     all     69.77      0.00      8.71      0.67      0.00     20.85
04:39:06 PM     all     70.62      0.00      9.02      1.25      0.00     19.12
04:39:07 PM     all     70.38      0.00     10.63      0.17      0.00     18.83
04:39:08 PM     all     70.67      0.00      8.99      0.84      0.00     19.50
04:39:09 PM     all     17.57      0.00      0.59      3.35      0.00     78.49
04:39:10 PM     all      3.66      0.00      1.08      7.16      0.00     88.09
04:39:11 PM     all     62.35      0.00      7.48      2.02      0.00     28.15
04:39:12 PM     all     71.73      0.00      8.47      0.00      0.00     19.80
04:39:13 PM     all     71.33      0.00     10.06      1.34      0.00     17.27
04:39:14 PM     all     70.57      0.00      9.36      0.00      0.00     20.07
