Linux 4.4.0-53-generic (diptprisrv08) 	12/16/2016 	_x86_64_	(12 CPU)

04:38:30 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
04:38:31 PM         3       324      0.87      1.05      1.07         0
04:38:32 PM         3       324      0.80      1.03      1.06         0
04:38:33 PM         3       324      0.80      1.03      1.06         0
04:38:34 PM         3       324      0.80      1.03      1.06         0
04:38:35 PM         4       324      0.80      1.03      1.06         0
04:38:36 PM         3       322      0.80      1.03      1.06         0
04:38:37 PM         2       324      0.74      1.02      1.06         0
04:38:38 PM         2       324      0.74      1.02      1.06         0
04:38:39 PM         2       324      0.74      1.02      1.06         0
04:38:40 PM         3       326      0.74      1.02      1.06         0
04:38:41 PM         3       326      0.74      1.02      1.06         0
04:38:42 PM         3       326      0.68      1.00      1.05         0
04:38:43 PM         2       326      0.68      1.00      1.05         0
04:38:44 PM        12       326      0.68      1.00      1.05         0
04:38:45 PM        12       326      0.68      1.00      1.05         0
04:38:46 PM        13       326      0.68      1.00      1.05         0
04:38:47 PM         7       326      0.86      1.03      1.06         0
04:38:48 PM        13       326      0.86      1.03      1.06         0
04:38:49 PM        15       324      0.86      1.03      1.06         1
04:38:50 PM        11       325      0.86      1.03      1.06         0
04:38:51 PM        13       325      0.86      1.03      1.06         0
04:38:52 PM        13       325      1.60      1.18      1.11         0
04:38:53 PM        11       323      1.60      1.18      1.11         0
04:38:54 PM        11       323      1.60      1.18      1.11         0
04:38:55 PM        14       323      1.60      1.18      1.11         0
04:38:56 PM        12       323      1.60      1.18      1.11         0
04:38:57 PM        11       324      2.27      1.33      1.16         0
04:38:58 PM        13       324      2.27      1.33      1.16         1
04:38:59 PM        11       324      2.27      1.33      1.16         0
04:39:00 PM        11       324      2.27      1.33      1.16         0
04:39:01 PM        12       324      2.27      1.33      1.16         2
04:39:02 PM        11       324      2.97      1.49      1.21         0
04:39:03 PM        11       324      2.97      1.49      1.21         0
04:39:04 PM         8       324      2.97      1.49      1.21         0
04:39:05 PM        11       324      2.97      1.49      1.21         0
04:39:06 PM         9       324      2.97      1.49      1.21         1
04:39:07 PM        10       324      2.81      1.48      1.21         0
04:39:08 PM         3       324      2.81      1.48      1.21         1
04:39:09 PM         1       324      2.81      1.48      1.21         1
04:39:10 PM         0       323      2.81      1.48      1.21         1
04:39:11 PM         9       323      2.81      1.48      1.21         1
04:39:12 PM        10       323      3.39      1.62      1.26         0
04:39:13 PM        11       323      3.39      1.62      1.26         0
04:39:14 PM        11       321      3.39      1.62      1.26         0
04:39:15 PM        10       321      3.39      1.62      1.26         1
04:39:16 PM        11       323      3.39      1.62      1.26         1
04:39:17 PM         8       323      3.92      1.76      1.30         0
04:39:18 PM        10       323      3.92      1.76      1.30         0
04:39:19 PM        10       323      3.92      1.76      1.30         1
04:39:20 PM        10       323      3.92      1.76      1.30         0
04:39:21 PM        10       323      3.92      1.76      1.30         0
04:39:22 PM        10       323      4.32      1.88      1.34         0
04:39:23 PM        10       323      4.32      1.88      1.34         0
04:39:24 PM         3       323      4.32      1.88      1.34         0
04:39:25 PM         2       323      4.32      1.88      1.34         0
04:39:26 PM        10       323      4.32      1.88      1.34         0
04:39:27 PM         9       321      4.86      2.03      1.40         1
04:39:28 PM        11       321      4.86      2.03      1.40         1
04:39:29 PM        11       322      4.86      2.03      1.40         0
04:39:30 PM        10       322      4.86      2.03      1.40         0
04:39:31 PM         9       323      4.86      2.03      1.40         0
04:39:32 PM        10       323      5.35      2.18      1.45         0
04:39:33 PM        11       323      5.35      2.18      1.45         0
04:39:34 PM         9       323      5.35      2.18      1.45         0
04:39:35 PM        10       323      5.35      2.18      1.45         1
04:39:36 PM        10       323      5.35      2.18      1.45         0
04:39:37 PM        10       323      5.72      2.31      1.49         0
04:39:38 PM        11       323      5.72      2.31      1.49         1
04:39:39 PM         1       323      5.72      2.31      1.49         1
04:39:40 PM        11       325      5.72      2.31      1.49         0
04:39:41 PM        13       325      5.72      2.31      1.49         0
04:39:42 PM        11       325      6.15      2.46      1.55         1
04:39:43 PM        10       325      6.15      2.46      1.55         1
04:39:44 PM        10       325      6.15      2.46      1.55         0
04:39:45 PM        11       325      6.15      2.46      1.55         1
04:39:46 PM        11       325      6.15      2.46      1.55         0
04:39:47 PM         1       325      5.97      2.48      1.56         0
04:39:48 PM         2       325      5.97      2.48      1.56         1
04:39:49 PM         3       325      5.97      2.48      1.56         0
04:39:50 PM         1       325      5.97      2.48      1.56         1
04:39:51 PM         1       325      5.97      2.48      1.56         0
04:39:52 PM         1       325      5.50      2.44      1.55         0
04:39:53 PM         1       325      5.50      2.44      1.55         0
04:39:54 PM         1       325      5.50      2.44      1.55         0
04:39:55 PM         2       325      5.50      2.44      1.55         0
04:39:56 PM         1       323      5.50      2.44      1.55         0
04:39:57 PM         1       325      5.14      2.42      1.55         0
04:39:58 PM         1       323      5.14      2.42      1.55         0
04:39:59 PM         1       323      5.14      2.42      1.55         0
04:40:00 PM         2       323      5.14      2.42      1.55         0
04:40:01 PM         1       323      5.14      2.42      1.55         0
04:40:02 PM         0       323      4.80      2.39      1.54         0
04:40:03 PM         1       321      4.80      2.39      1.54         0
04:40:04 PM         2       323      4.80      2.39      1.54         0
04:40:05 PM         1       323      4.80      2.39      1.54         0
04:40:06 PM         3       323      4.80      2.39      1.54         1
04:40:07 PM         1       323      4.50      2.37      1.54         0
04:40:08 PM         1       323      4.50      2.37      1.54         0
04:40:09 PM         1       321      4.50      2.37      1.54         0
04:40:10 PM         1       323      4.50      2.37      1.54         0
04:40:11 PM         1       323      4.50      2.37      1.54         0
04:40:12 PM         0       323      4.22      2.35      1.54         0
04:40:13 PM         1       323      4.22      2.35      1.54         0
04:40:14 PM         1       321      4.22      2.35      1.54         0
04:40:15 PM         1       323      4.22      2.35      1.54         0
04:40:16 PM         1       323      4.22      2.35      1.54         1
04:40:17 PM         2       323      4.44      2.42      1.57         0
04:40:18 PM         1       323      4.44      2.42      1.57         0
04:40:19 PM         0       323      4.44      2.42      1.57         0
04:40:20 PM         1       321      4.44      2.42      1.57         1
04:40:21 PM         1       323      4.44      2.42      1.57         1
04:40:22 PM         1       323      4.17      2.40      1.56         1
04:40:23 PM         0       326      4.17      2.40      1.56         0
04:40:24 PM         0       326      4.17      2.40      1.56         0
04:40:25 PM         1       326      4.17      2.40      1.56         0
04:40:26 PM         2       326      4.17      2.40      1.56         0
04:40:27 PM         0       326      3.83      2.36      1.56         0
04:40:28 PM         1       326      3.83      2.36      1.56         0
04:40:29 PM         2       327      3.83      2.36      1.56         0
04:40:30 PM         2       328      3.83      2.36      1.56         0
04:40:31 PM         3       328      3.83      2.36      1.56         0
04:40:32 PM         2       328      3.68      2.35      1.56         0
04:40:33 PM         1       328      3.68      2.35      1.56         0
04:40:34 PM         1       328      3.68      2.35      1.56         0
04:40:35 PM         0       328      3.68      2.35      1.56         1
04:40:36 PM         1       328      3.68      2.35      1.56         0
04:40:37 PM         2       328      3.47      2.33      1.55         0
04:40:38 PM         1       328      3.47      2.33      1.55         0
04:40:39 PM         1       326      3.47      2.33      1.55         0
04:40:40 PM         1       328      3.47      2.33      1.55         0
04:40:41 PM         1       328      3.47      2.33      1.55         1
04:40:42 PM         1       328      3.27      2.31      1.55         0
04:40:43 PM         1       330      3.27      2.31      1.55         0
04:40:44 PM         1       330      3.27      2.31      1.55         0
04:40:45 PM         1       330      3.27      2.31      1.55         0
04:40:46 PM         1       330      3.27      2.31      1.55         1
04:40:47 PM         1       328      3.17      2.30      1.55         0
04:40:48 PM         1       330      3.17      2.30      1.55         0
04:40:49 PM         1       330      3.17      2.30      1.55         0
04:40:50 PM         1       330      3.17      2.30      1.55         0
04:40:51 PM         1       330      3.17      2.30      1.55         1
04:40:52 PM         1       330      3.00      2.28      1.55         0
04:40:53 PM         1       330      3.00      2.28      1.55         0
04:40:54 PM         1       330      3.00      2.28      1.55         0
04:40:55 PM         1       330      3.00      2.28      1.55         0
04:40:56 PM         1       328      3.00      2.28      1.55         1
04:40:57 PM         1       328      2.84      2.26      1.55         0
04:40:58 PM         1       328      2.84      2.26      1.55         0
04:40:59 PM         1       328      2.84      2.26      1.55         0
04:41:00 PM         1       328      2.84      2.26      1.55         0
04:41:01 PM         1       328      2.84      2.26      1.55         1
04:41:02 PM         1       326      2.61      2.22      1.54         0
04:41:03 PM         2       326      2.61      2.22      1.54         0
04:41:04 PM         1       324      2.61      2.22      1.54         0
04:41:05 PM         1       324      2.61      2.22      1.54         1
04:41:06 PM         1       324      2.61      2.22      1.54         1
04:41:07 PM         1       324      2.48      2.20      1.53         0
04:41:08 PM         1       324      2.48      2.20      1.53         0
04:41:09 PM         1       324      2.48      2.20      1.53         0
04:41:12 PM         3       324      2.48      2.20      1.53         4
04:41:13 PM         3       323      2.36      2.18      1.53         1
04:41:14 PM         5       323      2.36      2.18      1.53         0
04:41:15 PM         4       323      2.36      2.18      1.53         0
04:41:16 PM         2       323      2.36      2.18      1.53         0
04:41:17 PM         3       323      2.36      2.18      1.53         0
04:41:18 PM         4       323      2.25      2.16      1.53         0
04:41:19 PM         4       323      2.25      2.16      1.53         0
04:41:20 PM         4       323      2.25      2.16      1.53         0
04:41:21 PM         4       321      2.25      2.16      1.53         0
04:41:22 PM         4       317      2.25      2.16      1.53         0
04:41:23 PM         4       317      2.15      2.14      1.53         0
04:41:24 PM         4       317      2.15      2.14      1.53         0
04:41:25 PM         4       317      2.15      2.14      1.53         0
04:41:26 PM         4       317      2.15      2.14      1.53         0
04:41:27 PM         5       317      2.15      2.14      1.53         0
04:41:28 PM         5       315      1.98      2.11      1.52         0
04:41:29 PM         1       315      1.98      2.11      1.52         1
04:41:30 PM         1       315      1.98      2.11      1.52         0
04:41:31 PM         4       315      1.98      2.11      1.52         0
