Linux 4.4.0-53-generic (diptprisrv08) 	12/20/2016 	_x86_64_	(12 CPU)

10:06:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
10:08:51 PM        10       331      7.76      3.11      1.17         0
10:08:52 PM        10       331      7.76      3.11      1.17         1
10:08:53 PM        10       329      7.76      3.11      1.17         0
10:08:54 PM         9       329      7.94      3.23      1.21         0
10:08:55 PM        11       329      7.94      3.23      1.21         0
10:08:56 PM         9       329      7.94      3.23      1.21         0
10:08:57 PM        11       329      7.94      3.23      1.21         0
10:08:58 PM        10       329      7.94      3.23      1.21         0
10:08:59 PM        11       329      8.11      3.34      1.26         1
10:09:00 PM        10       329      8.11      3.34      1.26         0
10:09:01 PM        10       329      8.11      3.34      1.26         0
10:09:02 PM        10       329      8.11      3.34      1.26         0
10:09:03 PM        10       329      8.11      3.34      1.26         0
10:09:04 PM        11       329      8.26      3.45      1.31         0
10:09:05 PM         6       329      8.26      3.45      1.31         1
10:09:06 PM        10       329      8.26      3.45      1.31         0
10:09:07 PM        11       329      8.26      3.45      1.31         0
10:09:08 PM        10       329      8.26      3.45      1.31         0
10:09:09 PM        10       329      8.40      3.56      1.36         1
10:09:10 PM        11       328      8.40      3.56      1.36         0
10:09:11 PM        10       328      8.40      3.56      1.36         0
10:09:12 PM        10       328      8.40      3.56      1.36         1
10:09:13 PM         1       328      8.40      3.56      1.36         0
10:09:14 PM         1       328      8.53      3.67      1.40         0
10:09:15 PM         9       328      8.53      3.67      1.40         0
10:09:16 PM        10       328      8.53      3.67      1.40         0
10:09:17 PM         5       328      8.53      3.67      1.40         0
10:09:18 PM         8       328      8.53      3.67      1.40         1
10:09:19 PM         9       328      8.80      3.80      1.46         0
10:09:20 PM         3       328      8.80      3.80      1.46         1
10:09:21 PM         3       328      8.80      3.80      1.46         1
10:09:22 PM         3       328      8.80      3.80      1.46         0
10:09:23 PM        10       328      8.80      3.80      1.46         0
10:09:24 PM         9       328      8.90      3.91      1.51         0
10:09:25 PM        12       328      8.90      3.91      1.51         0
10:09:26 PM         9       328      8.90      3.91      1.51         1
10:09:27 PM        11       328      8.90      3.91      1.51         0
10:09:28 PM        11       330      8.90      3.91      1.51         0
10:09:29 PM        10       330      9.07      4.03      1.56         1
10:09:30 PM         9       330      9.07      4.03      1.56         0
10:09:31 PM        11       330      9.07      4.03      1.56         0
10:09:32 PM        10       330      9.07      4.03      1.56         0
10:09:33 PM        11       330      9.07      4.03      1.56         0
10:09:34 PM        12       330      9.14      4.13      1.60         0
10:09:35 PM        12       330      9.14      4.13      1.60         0
10:09:36 PM        10       330      9.14      4.13      1.60         0
10:09:37 PM         8       330      9.14      4.13      1.60         0
10:09:38 PM         4       328      9.14      4.13      1.60         1
10:09:39 PM         1       329      8.81      4.14      1.62         0
10:09:40 PM        10       329      8.81      4.14      1.62         0
10:09:41 PM        10       329      8.81      4.14      1.62         0
10:09:42 PM        10       330      8.81      4.14      1.62         1
