Linux 4.4.0-53-generic (diptprisrv08) 	12/16/2016 	_x86_64_	(12 CPU)

04:17:58 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
04:19:54 PM         1       324      3.47      1.93      1.12         1
04:19:55 PM         0       324      3.47      1.93      1.12         0
04:19:56 PM         2       324      3.47      1.93      1.12         0
04:19:57 PM         0       325      3.19      1.89      1.11         0
04:19:58 PM         2       325      3.19      1.89      1.11         0
04:19:59 PM         2       325      3.19      1.89      1.11         1
04:20:00 PM         0       325      3.19      1.89      1.11         0
04:20:01 PM         0       325      3.19      1.89      1.11         0
04:20:02 PM         1       325      2.93      1.86      1.10         0
04:20:03 PM         2       325      2.93      1.86      1.10         0
04:20:04 PM         2       325      2.93      1.86      1.10         1
04:20:05 PM         0       325      2.93      1.86      1.10         0
04:20:06 PM         0       325      2.93      1.86      1.10         0
04:20:07 PM         0       325      2.70      1.83      1.10         0
04:20:08 PM         0       325      2.70      1.83      1.10         0
04:20:09 PM         0       325      2.70      1.83      1.10         1
04:20:10 PM         1       325      2.70      1.83      1.10         0
04:20:11 PM         0       325      2.70      1.83      1.10         0
04:20:12 PM         2       325      2.48      1.80      1.09         0
04:20:13 PM         0       325      2.48      1.80      1.09         0
04:20:14 PM         1       325      2.48      1.80      1.09         0
04:20:15 PM         0       325      2.48      1.80      1.09         0
04:20:16 PM         0       325      2.48      1.80      1.09         0
04:20:17 PM         1       325      2.28      1.77      1.08         0
04:20:18 PM         0       325      2.28      1.77      1.08         0
04:20:19 PM         0       325      2.28      1.77      1.08         0
04:20:20 PM         1       325      2.28      1.77      1.08         0
04:20:21 PM         0       325      2.28      1.77      1.08         0
04:20:22 PM         0       325      2.10      1.74      1.08         0
04:20:23 PM         0       325      2.10      1.74      1.08         1
04:20:24 PM         0       325      2.10      1.74      1.08         0
04:20:25 PM         0       325      2.10      1.74      1.08         0
04:20:26 PM         0       325      2.10      1.74      1.08         0
04:20:27 PM         1       325      1.93      1.71      1.07         0
04:20:28 PM         0       325      1.93      1.71      1.07         1
04:20:29 PM         2       325      1.93      1.71      1.07         0
04:20:30 PM         0       325      1.93      1.71      1.07         0
04:20:31 PM         1       327      1.93      1.71      1.07         0
04:20:32 PM         0       322      1.78      1.68      1.07         0
04:20:33 PM         0       322      1.78      1.68      1.07         1
04:20:34 PM         0       321      1.78      1.68      1.07         0
04:20:35 PM         0       321      1.78      1.68      1.07         0
04:20:36 PM         0       321      1.78      1.68      1.07         0
04:20:37 PM         0       322      1.63      1.65      1.06         0
04:20:38 PM         0       322      1.63      1.65      1.06         1
04:20:39 PM         0       321      1.63      1.65      1.06         0
04:20:40 PM         0       321      1.63      1.65      1.06         0
04:20:41 PM         0       321      1.63      1.65      1.06         0
04:20:42 PM         0       319      1.50      1.62      1.06         0
04:20:43 PM         0       319      1.50      1.62      1.06         1
04:20:44 PM         0       319      1.50      1.62      1.06         0
04:20:45 PM         0       319      1.50      1.62      1.06         0
04:20:46 PM         0       319      1.50      1.62      1.06         0
04:20:47 PM         0       318      1.38      1.60      1.05         0
04:20:48 PM         0       318      1.38      1.60      1.05         1
04:20:49 PM         0       318      1.38      1.60      1.05         0
04:20:50 PM         0       318      1.38      1.60      1.05         0
04:20:51 PM         0       318      1.38      1.60      1.05         0
04:20:52 PM         0       318      1.27      1.57      1.04         0
04:20:53 PM         0       318      1.27      1.57      1.04         3
04:20:54 PM         0       318      1.27      1.57      1.04         0
04:20:55 PM         0       318      1.27      1.57      1.04         0
04:20:56 PM         0       318      1.27      1.57      1.04         0
04:20:57 PM         0       319      1.17      1.54      1.04         0
04:20:58 PM         0       319      1.17      1.54      1.04         1
04:20:59 PM         0       319      1.17      1.54      1.04         0
04:21:00 PM         0       319      1.17      1.54      1.04         0
04:21:01 PM         0       319      1.17      1.54      1.04         0
04:21:02 PM         0       319      1.08      1.52      1.03         0
04:21:03 PM         0       319      1.08      1.52      1.03         1
04:21:04 PM         0       319      1.08      1.52      1.03         0
04:21:05 PM         0       319      1.08      1.52      1.03         0
04:21:06 PM         0       319      1.08      1.52      1.03         0
04:21:07 PM         0       318      0.99      1.49      1.03         1
04:21:08 PM         0       318      0.99      1.49      1.03         1
04:21:09 PM         0       318      0.99      1.49      1.03         0
04:21:10 PM         0       318      0.99      1.49      1.03         0
04:21:11 PM         0       318      0.99      1.49      1.03         0
04:21:12 PM         0       318      0.91      1.47      1.02         0
04:21:13 PM         0       318      0.91      1.47      1.02         1
04:21:14 PM         0       318      0.91      1.47      1.02         0
04:21:15 PM         0       318      0.91      1.47      1.02         0
04:21:16 PM         0       318      0.91      1.47      1.02         0
04:21:17 PM         1       318      0.84      1.44      1.01         0
04:21:18 PM         0       318      0.84      1.44      1.01         1
04:21:19 PM         0       318      0.84      1.44      1.01         0
04:21:20 PM         0       318      0.84      1.44      1.01         0
04:21:21 PM         0       318      0.84      1.44      1.01         0
04:21:22 PM         0       318      0.85      1.44      1.01         0
04:21:23 PM         0       318      0.85      1.44      1.01         1
04:21:24 PM         0       318      0.85      1.44      1.01         0
04:21:25 PM         0       318      0.85      1.44      1.01         0
04:21:26 PM         0       319      0.85      1.44      1.01         0
04:21:27 PM         0       317      0.78      1.41      1.01         0
04:21:28 PM         0       316      0.78      1.41      1.01         1
04:21:29 PM         0       316      0.78      1.41      1.01         0
04:21:30 PM         0       317      0.78      1.41      1.01         0
04:21:31 PM         0       317      0.78      1.41      1.01         0
04:21:32 PM         0       317      0.72      1.39      1.00         0
04:21:33 PM         0       317      0.72      1.39      1.00         1
04:21:34 PM         0       317      0.72      1.39      1.00         0
04:21:35 PM         0       317      0.72      1.39      1.00         0
04:21:36 PM         0       317      0.72      1.39      1.00         0
04:21:37 PM         0       317      0.66      1.36      1.00         0
04:21:38 PM         0       319      0.66      1.36      1.00         1
04:21:39 PM         0       319      0.66      1.36      1.00         0
04:21:40 PM         0       319      0.66      1.36      1.00         0
04:21:41 PM         1       318      0.66      1.36      1.00         0
04:21:42 PM         0       318      0.61      1.34      0.99         0
04:21:43 PM         0       318      0.61      1.34      0.99         1
04:21:44 PM         0       318      0.61      1.34      0.99         0
04:21:45 PM         0       318      0.61      1.34      0.99         0
04:21:46 PM         0       318      0.61      1.34      0.99         0
04:21:47 PM         0       318      0.56      1.32      0.99         0
04:21:48 PM         0       318      0.56      1.32      0.99         2
04:21:49 PM         0       318      0.56      1.32      0.99         0
04:21:50 PM         0       318      0.56      1.32      0.99         0
04:21:51 PM         0       318      0.56      1.32      0.99         0
04:21:52 PM         0       318      0.51      1.30      0.98         0
04:21:53 PM         1       318      0.51      1.30      0.98         1
04:21:54 PM         0       318      0.51      1.30      0.98         0
04:21:55 PM         0       318      0.51      1.30      0.98         0
04:21:56 PM         0       318      0.51      1.30      0.98         0
04:21:57 PM         0       316      0.47      1.28      0.97         0
04:21:58 PM         0       316      0.47      1.28      0.97         1
04:21:59 PM         0       316      0.47      1.28      0.97         0
04:22:00 PM         0       316      0.47      1.28      0.97         0
04:22:01 PM         0       316      0.47      1.28      0.97         0
