sda               0.37         2.96         3.21     472391     511788
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               1.00         0.00         4.00          0          4
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               2.00         0.00        40.00          0         40
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               1.00         0.00         4.00          0          4
sda               2.00         0.00        72.00          0         72
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               2.00         0.00        68.00          0         68
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               2.00         0.00        28.00          0         28
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               2.00         0.00        16.00          0         16
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               2.00         0.00        16.00          0         16
sda               0.00         0.00         0.00          0          0
sda               2.00         0.00        16.00          0         16
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               2.00         0.00        28.00          0         28
sda               0.00         0.00         0.00          0          0
sda              25.00         0.00       116.00          0        116
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               2.00         0.00        16.00          0         16
sda               0.00         0.00         0.00          0          0
sda               4.00         0.00        20.00          0         20
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               2.00         0.00        48.00          0         48
sda               0.00         0.00         0.00          0          0
sda               0.00         0.00         0.00          0          0
sda               3.00         0.00        16.00          0         16
sda               0.00         0.00         0.00          0          0
sda               2.00         0.00        28.00          0         28
