Linux 4.4.0-53-generic (diptprisrv08) 	12/15/2016 	_x86_64_	(12 CPU)

04:15:16 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
04:15:17 PM         4       321      0.30      0.32      0.20         0
04:15:18 PM         2       321      0.30      0.32      0.20         1
04:15:19 PM         2       321      0.30      0.32      0.20         0
04:15:20 PM         2       321      0.28      0.31      0.19         0
04:15:21 PM         2       321      0.28      0.31      0.19         0
04:15:22 PM         2       321      0.28      0.31      0.19         0
04:15:23 PM         2       321      0.28      0.31      0.19         1
04:15:24 PM         2       321      0.28      0.31      0.19         0
04:15:25 PM         2       321      0.26      0.31      0.19         0
04:15:26 PM         2       321      0.26      0.31      0.19         0
04:15:27 PM         2       321      0.26      0.31      0.19         0
04:15:28 PM         4       322      0.26      0.31      0.19         1
04:15:29 PM         2       323      0.26      0.31      0.19         0
04:15:30 PM         3       323      0.24      0.30      0.19         0
04:15:31 PM         2       323      0.24      0.30      0.19         0
04:15:32 PM         2       323      0.24      0.30      0.19         0
04:15:33 PM         2       323      0.24      0.30      0.19         1
04:15:34 PM         2       323      0.24      0.30      0.19         0
04:15:35 PM         2       323      0.22      0.30      0.19         0
04:15:36 PM         2       323      0.22      0.30      0.19         0
04:15:37 PM         1       323      0.22      0.30      0.19         0
04:15:38 PM         2       323      0.22      0.30      0.19         1
04:15:39 PM         1       323      0.22      0.30      0.19         0
04:15:40 PM         2       323      0.20      0.29      0.19         0
04:15:41 PM         1       321      0.20      0.29      0.19         0
04:15:42 PM         1       321      0.20      0.29      0.19         0
04:15:43 PM         1       320      0.20      0.29      0.19         1
04:15:44 PM         1       321      0.20      0.29      0.19         0
04:15:45 PM         1       321      0.18      0.29      0.19         0
04:15:46 PM         1       321      0.18      0.29      0.19         0
04:15:47 PM         1       321      0.18      0.29      0.19         0
04:15:48 PM         1       321      0.18      0.29      0.19         1
04:15:49 PM         1       321      0.18      0.29      0.19         0
04:15:50 PM         1       322      0.17      0.28      0.18         0
04:15:51 PM         1       322      0.17      0.28      0.18         0
04:15:52 PM         1       322      0.17      0.28      0.18         0
04:15:53 PM         1       322      0.17      0.28      0.18         1
04:15:54 PM         1       322      0.17      0.28      0.18         0
04:15:55 PM         1       322      0.15      0.28      0.18         0
04:15:56 PM         1       322      0.15      0.28      0.18         0
04:15:57 PM         2       322      0.15      0.28      0.18         0
04:15:58 PM         1       322      0.15      0.28      0.18         1
04:15:59 PM         2       322      0.15      0.28      0.18         0
04:16:00 PM         1       322      0.14      0.27      0.18         0
04:16:01 PM         1       322      0.14      0.27      0.18         0
04:16:02 PM         1       321      0.14      0.27      0.18         0
04:16:03 PM         1       321      0.14      0.27      0.18         1
04:16:04 PM         1       321      0.14      0.27      0.18         0
04:16:05 PM         1       321      0.13      0.27      0.18         0
04:16:06 PM         1       321      0.13      0.27      0.18         0
04:16:07 PM         1       321      0.13      0.27      0.18         0
04:16:08 PM         2       321      0.13      0.27      0.18         1
04:16:09 PM         2       321      0.13      0.27      0.18         0
04:16:10 PM         2       321      0.12      0.26      0.18         0
04:16:11 PM         2       321      0.12      0.26      0.18         0
04:16:12 PM         2       321      0.12      0.26      0.18         0
04:16:13 PM         2       321      0.12      0.26      0.18         1
04:16:14 PM         2       321      0.12      0.26      0.18         0
04:16:15 PM         1       321      0.11      0.26      0.18         0
04:16:16 PM         1       321      0.11      0.26      0.18         0
04:16:17 PM         1       321      0.11      0.26      0.18         0
04:16:18 PM         1       321      0.11      0.26      0.18         1
04:16:19 PM         1       321      0.11      0.26      0.18         0
04:16:20 PM         1       321      0.10      0.25      0.18         0
04:16:21 PM         2       321      0.10      0.25      0.18         0
04:16:22 PM         2       321      0.10      0.25      0.18         0
04:16:23 PM         2       321      0.10      0.25      0.18         1
04:16:24 PM         1       321      0.10      0.25      0.18         0
04:16:25 PM         1       321      0.09      0.25      0.18         0
04:16:26 PM         1       321      0.09      0.25      0.18         0
04:16:27 PM         1       321      0.09      0.25      0.18         0
04:16:28 PM         1       323      0.09      0.25      0.18         1
04:16:29 PM         1       323      0.09      0.25      0.18         0
04:16:30 PM         1       323      0.08      0.24      0.18         0
04:16:31 PM         1       323      0.08      0.24      0.18         0
04:16:32 PM         1       323      0.08      0.24      0.18         0
04:16:33 PM         1       323      0.08      0.24      0.18         1
04:16:34 PM         1       323      0.08      0.24      0.18         0
04:16:35 PM         1       323      0.08      0.24      0.17         0
04:16:36 PM         1       323      0.08      0.24      0.17         0
04:16:37 PM         1       323      0.08      0.24      0.17         0
04:16:38 PM         1       323      0.08      0.24      0.17         1
04:16:39 PM         1       321      0.08      0.24      0.17         0
04:16:40 PM         1       321      0.08      0.24      0.17         0
04:16:41 PM         2       321      0.07      0.24      0.17         0
04:16:42 PM         2       321      0.07      0.24      0.17         0
04:16:43 PM         2       321      0.07      0.24      0.17         0
04:16:44 PM         2       321      0.07      0.24      0.17         0
04:16:45 PM         2       321      0.07      0.24      0.17         0
04:16:46 PM         2       321      0.07      0.23      0.17         0
04:16:47 PM         2       321      0.07      0.23      0.17         0
04:16:48 PM         2       321      0.07      0.23      0.17         0
04:16:49 PM         2       321      0.07      0.23      0.17         0
04:16:50 PM         2       321      0.07      0.23      0.17         0
04:16:51 PM         2       321      0.06      0.23      0.17         0
04:16:52 PM         2       321      0.06      0.23      0.17         0
04:16:53 PM         1       321      0.06      0.23      0.17         1
04:16:54 PM         1       321      0.06      0.23      0.17         0
04:16:55 PM         1       321      0.06      0.23      0.17         0
04:16:56 PM         1       321      0.06      0.22      0.17         0
04:16:57 PM         2       321      0.06      0.22      0.17         0
04:16:58 PM         2       321      0.06      0.22      0.17         1
04:16:59 PM         2       321      0.06      0.22      0.17         0
04:17:00 PM         2       321      0.06      0.22      0.17         0
04:17:01 PM         2       321      0.05      0.22      0.17         0
04:17:02 PM         1       321      0.05      0.22      0.17         0
04:17:03 PM         2       322      0.05      0.22      0.17         0
04:17:04 PM         2       322      0.05      0.22      0.17         1
04:17:05 PM         7       322      0.05      0.22      0.17         0
04:17:06 PM         2       322      0.21      0.25      0.18         0
04:17:07 PM         2       322      0.21      0.25      0.18         0
04:17:08 PM         2       322      0.21      0.25      0.18         1
04:17:09 PM         2       322      0.21      0.25      0.18         0
04:17:10 PM         1       322      0.21      0.25      0.18         0
04:17:11 PM         1       322      0.19      0.24      0.18         0
04:17:12 PM         1       322      0.19      0.24      0.18         1
04:17:13 PM         7       322      0.19      0.24      0.18         0
04:17:14 PM         8       322      0.19      0.24      0.18         0
04:17:15 PM         8       321      0.19      0.24      0.18         0
04:17:16 PM         7       321      0.58      0.32      0.21         0
